dataset	Alg_name	supp	conf	m	rl_no	lrg_len	mem	tot_t	usr_t	set_t	part	rand
data/mushroom.dat	dic	0.7	0.8	100	0	31	124665856	0.544035	0.540034	0.540035	1	0
data/mushroom.dat	dic	0.7	0.8	500	0	31	127860736	1.112069	1.084068	1.112069	0	0
data/mushroom.dat	dic	0.7	0.8	500	0	31	129826816	0.536034	0.520033	0.536034	1	0
data/mushroom.dat	dic	0.7	0.8	1000	0	31	130940928	1.036066	1.032065	1.036066	0	0
data/mushroom.dat	dic	0.7	0.8	1000	0	31	131072000	0.612037	0.600037	0.608037	1	0
data/mushroom.dat	dic	0.7	0.8	2000	0	31	131072000	1.024065	1.016064	1.024065	0	0
data/mushroom.dat	dic	0.7	0.8	2000	0	31	131186688	0.736046	0.728046	0.736046	1	0
data/mushroom.dat	dic	0.7	0.8	8124	0	31	131203072	0.996063	0.992062	0.996063	0	0
data/mushroom.dat	dic	0.7	0.8	8124	0	31	131219456	1.236077	1.228077	1.236077	1	0
data/mushroom.dat	apriori	0.7	0.8	n/a	0	31	131219456	0.428027	0.420026	0.428027	n/a	n/a
data/mushroom.dat	dic	0.6	0.8	100	0	51	131383296	1.516095	1.508095	1.516095	0	0
data/mushroom.dat	dic	0.6	0.8	100	0	51	131629056	1.500094	1.492093	1.500094	1	0
data/mushroom.dat	dic	0.6	0.8	500	0	51	131710976	1.364085	1.360085	1.364085	0	0
data/mushroom.dat	dic	0.6	0.8	500	0	51	132923392	1.396087	1.380086	1.396087	1	0
data/mushroom.dat	dic	0.6	0.8	1000	0	51	132972544	1.412088	1.392087	1.412088	0	0
data/mushroom.dat	dic	0.6	0.8	1000	0	51	133201920	1.340084	1.336084	1.336084	1	0
data/mushroom.dat	dic	0.6	0.8	2000	0	51	133234688	1.468092	1.468092	1.468092	0	0
data/mushroom.dat	dic	0.6	0.8	2000	0	51	133332992	1.680105	1.680105	1.680105	1	0
data/mushroom.dat	dic	0.6	0.8	8124	0	51	133332992	1.380086	1.380086	1.380086	0	0
data/mushroom.dat	dic	0.6	0.8	8124	0	51	134316032	1.876117	1.876117	1.876117	1	0
data/mushroom.dat	apriori	0.6	0.8	n/a	0	51	134791168	0.748047	0.748047	0.748047	n/a	n/a
data/mushroom.dat	dic	0.5	0.8	100	0	153	140197888	3.920246	3.912245	3.916245	0	0
data/mushroom.dat	dic	0.5	0.8	100	0	153	165167104	9.348584	9.264579	9.348584	1	0
data/mushroom.dat	dic	0.5	0.8	500	0	153	165330944	3.296206	3.264204	3.296206	0	0
data/mushroom.dat	dic	0.5	0.8	500	0	153	170049536	5.156323	5.11232	5.156323	1	0
data/mushroom.dat	dic	0.5	0.8	1000	0	153	170147840	3.092193	3.060191	3.092193	0	0
data/mushroom.dat	dic	0.5	0.8	1000	0	153	170426368	4.552285	4.500282	4.552285	1	0
data/mushroom.dat	dic	0.5	0.8	2000	0	153	170442752	2.916182	2.88818	2.916182	0	0
data/mushroom.dat	dic	0.5	0.8	2000	0	153	170573824	5.000312	4.952309	5.000312	1	0
data/mushroom.dat	dic	0.5	0.8	8124	0	153	170606592	2.864179	2.840178	2.864179	0	0
data/mushroom.dat	dic	0.5	0.8	8124	0	153	170704896	5.288331	5.248328	5.288331	1	0
data/mushroom.dat	apriori	0.5	0.8	n/a	0	153	170835968	2.476155	2.460154	2.476155	n/a	n/a
data/mushroom.dat	dic	0.4	0.8	100	0	565	171294720	17.653103	17.493093	17.649103	0	0
data/mushroom.dat	dic	0.4	0.8	100	0	565	269189120	55.003438	54.431402	55.003438	1	0
data/mushroom.dat	dic	0.4	0.8	500	0	565	269189120	13.656853	13.488843	13.652853	0	0
data/mushroom.dat	dic	0.4	0.8	500	0	565	269189120	23.409463	23.185449	23.405463	1	0
data/mushroom.dat	dic	0.4	0.8	1000	0	565	269189120	12.628789	12.576786	12.628789	0	0
data/mushroom.dat	dic	0.4	0.8	1000	0	565	269189120	18.713169	18.589161	18.713169	1	0
data/mushroom.dat	dic	0.4	0.8	2000	0	565	269189120	12.264767	12.144759	12.260766	0	0
data/mushroom.dat	dic	0.4	0.8	2000	0	565	269189120	19.229201	19.069191	19.229201	1	0
data/mushroom.dat	dic	0.4	0.8	8124	0	565	269189120	11.924745	11.800738	11.924745	0	0
data/mushroom.dat	dic	0.4	0.8	8124	0	565	269189120	23.229452	23.03744	23.229452	1	0
data/mushroom.dat	apriori	0.4	0.8	n/a	0	565	269189120	10.216639	10.164635	10.216639	n/a	n/a
data/mushroom.dat	dic	0.35	0.8	100	0	1189	269189120	31.969998	31.817989	31.969998	0	0
data/mushroom.dat	dic	0.35	0.8	100	0	1189	427081728	101.538346	101.206325	101.538346	1	0
data/mushroom.dat	dic	0.35	0.8	500	0	1189	427147264	22.997437	22.957435	22.997437	0	0
data/mushroom.dat	dic	0.35	0.8	500	0	1189	427294720	38.526408	38.430402	38.526408	1	0
data/mushroom.dat	dic	0.35	0.8	1000	0	1189	427343872	22.333396	22.181386	22.329396	0	0
data/mushroom.dat	dic	0.35	0.8	1000	0	1189	427458560	37.642352	37.426339	37.638352	1	0
data/mushroom.dat	dic	0.35	0.8	2000	0	1189	427507712	21.357336	21.305332	21.357336	0	0
data/mushroom.dat	dic	0.35	0.8	2000	0	1189	427622400	39.37046	39.262454	39.37046	1	0
data/mushroom.dat	dic	0.35	0.8	8124	0	1189	427638784	19.377211	19.345209	19.377211	0	0
data/mushroom.dat	dic	0.35	0.8	8124	0	1189	427687936	42.446653	42.354647	42.446653	1	0
data/mushroom.dat	apriori	0.35	0.8	n/a	0	1189	427786240	21.977373	21.92537	21.973373	n/a	n/a
data/mushroom.dat	dic	0.3	0.8	100	0	2735	427868160	95.685981	95.421964	95.685981	0	0
data/mushroom.dat	dic	0.3	0.8	100	0	2735	565542912	157.76986	157.325832	157.76986	1	0
data/mushroom.dat	dic	0.3	0.8	500	0	2735	565559296	64.416026	64.216014	64.416026	0	0
data/mushroom.dat	dic	0.3	0.8	500	0	2735	565821440	89.721607	89.529595	89.717607	1	0
data/mushroom.dat	dic	0.3	0.8	1000	0	2735	565854208	58.319645	58.07963	58.315645	0	0
data/mushroom.dat	dic	0.3	0.8	1000	0	2735	565854208	86.309394	86.033377	86.309394	1	0
data/mushroom.dat	dic	0.3	0.8	2000	0	2735	565854208	56.067505	55.919495	56.067505	0	0
data/mushroom.dat	dic	0.3	0.8	2000	0	2735	565854208	84.49328	84.293268	84.48928	1	0
data/mushroom.dat	dic	0.3	0.8	8124	0	2735	565854208	53.683355	53.559347	53.683355	0	0
data/mushroom.dat	dic	0.3	0.8	8124	0	2735	565854208	110.07488	109.534846	110.070879	1	0
data/mushroom.dat	apriori	0.3	0.8	n/a	0	2735	565854208	54.663416	54.575411	54.663416	n/a	n/a
data/mushroom.dat	dic	0.25	0.8	100	0	5545	565854208	245.947371	245.039314	245.943371	0	0
data/mushroom.dat	dic	0.25	0.8	100	0	5545	893763584	275.137195	274.005124	275.137195	1	0
data/mushroom.dat	dic	0.25	0.8	500	0	5545	893763584	164.738296	163.694231	164.734295	0	0
data/mushroom.dat	dic	0.25	0.8	500	0	5545	893763584	142.036876	141.676854	142.036876	1	0
data/mushroom.dat	dic	0.25	0.8	1000	0	5545	893763584	146.861179	146.40515	146.861179	0	0
data/mushroom.dat	dic	0.25	0.8	1000	0	5545	893763584	150.561409	149.997374	150.561409	1	0
data/mushroom.dat	dic	0.25	0.8	2000	0	5545	893763584	135.096444	134.652416	135.096444	0	0
data/mushroom.dat	dic	0.25	0.8	2000	0	5545	893763584	194.24814	193.580098	194.24814	1	0
data/mushroom.dat	dic	0.25	0.8	8124	0	5545	893763584	126.283892	125.93187	126.279892	0	0
data/mushroom.dat	dic	0.25	0.8	8124	0	5545	893763584	254.679917	253.623851	254.679917	1	0
data/mushroom.dat	apriori	0.25	0.8	n/a	0	5545	893763584	117.919369	117.499343	117.919369	n/a	n/a
data/kosarak.dat	dic	0.6	0.8	100	0	1	972881920	4.184262	4.14826	4.184262	0	0
data/kosarak.dat	dic	0.6	0.8	100	0	1	1085931520	4.556285	4.516282	4.556285	1	0
data/kosarak.dat	dic	0.6	0.8	1000	0	1	1085931520	4.16026	4.16026	4.16026	0	0
data/kosarak.dat	dic	0.6	0.8	1000	0	1	1085931520	4.104257	4.104257	4.100257	1	0
data/kosarak.dat	dic	0.6	0.8	10000	0	1	1181876224	4.252265	4.228264	4.252265	0	0
data/kosarak.dat	dic	0.6	0.8	10000	0	1	1304657920	4.212264	4.128258	4.212264	1	0
data/kosarak.dat	dic	0.6	0.8	100000	0	1	1368195072	4.848303	4.812301	4.844303	0	0
data/kosarak.dat	dic	0.6	0.8	100000	0	1	1368195072	4.432277	4.428277	4.432277	1	0
data/kosarak.dat	apriori	0.6	0.8	n/a	0	1	1368195072	4.136259	4.128258	4.136259	n/a	n/a
data/kosarak.dat	dic	0.4	0.8	100	0	2	1368195072	7.624476	7.616476	7.624476	0	0
data/kosarak.dat	dic	0.4	0.8	100	0	2	1368195072	8.396525	8.384524	8.396525	1	0
data/kosarak.dat	dic	0.4	0.8	1000	0	2	1368195072	7.352459	7.308456	7.352459	0	0
data/kosarak.dat	dic	0.4	0.8	1000	0	2	1368195072	7.896493	7.888493	7.896493	1	0
data/kosarak.dat	dic	0.4	0.8	10000	0	2	1368195072	7.488468	7.432464	7.484468	0	0
data/kosarak.dat	dic	0.4	0.8	10000	0	2	1368195072	7.928496	7.848491	7.928496	1	0
data/kosarak.dat	dic	0.4	0.8	100000	0	2	1368195072	7.996499	7.988499	7.996499	0	0
data/kosarak.dat	dic	0.4	0.8	100000	0	2	1368195072	7.85649	7.85249	7.85649	1	0
data/kosarak.dat	apriori	0.4	0.8	n/a	0	2	1368195072	4.94831	4.94831	4.94831	n/a	n/a
data/kosarak.dat	dic	0.2	0.8	100	0	5	1368195072	9.43259	9.392587	9.43259	0	0
data/kosarak.dat	dic	0.2	0.8	100	0	5	1368195072	11.172699	11.160698	11.172699	1	0
data/kosarak.dat	dic	0.2	0.8	1000	0	5	1368195072	9.380586	9.348584	9.380586	0	0
data/kosarak.dat	dic	0.2	0.8	1000	0	5	1368195072	10.684667	10.640665	10.684667	1	0
data/kosarak.dat	dic	0.2	0.8	10000	0	5	1368195072	9.212577	9.208576	9.212577	0	0
data/kosarak.dat	dic	0.2	0.8	10000	0	5	1368195072	11.192699	11.152697	11.192699	1	0
data/kosarak.dat	dic	0.2	0.8	100000	0	5	1368195072	9.5966	9.496594	9.592599	0	0
data/kosarak.dat	dic	0.2	0.8	100000	0	5	1368195072	11.568723	11.52072	11.552722	1	0
data/kosarak.dat	apriori	0.2	0.8	n/a	0	5	1368195072	6.452403	6.340396	6.448403	n/a	n/a
data/kosarak.dat	dic	0.1	0.8	100	0	9	1368195072	16.365023	16.31702	16.365023	0	0
data/kosarak.dat	dic	0.1	0.8	100	0	9	1368195072	13.58885	13.580849	13.58885	1	0
data/kosarak.dat	dic	0.1	0.8	1000	0	9	1368195072	15.168947	15.128945	15.168947	0	0
data/kosarak.dat	dic	0.1	0.8	1000	0	9	1368195072	12.380774	12.304769	12.380774	1	0
data/kosarak.dat	dic	0.1	0.8	10000	0	9	1368195072	14.984936	14.964935	14.984936	0	0
data/kosarak.dat	dic	0.1	0.8	10000	0	9	1368195072	12.63279	12.620789	12.63279	1	0
data/kosarak.dat	dic	0.1	0.8	100000	0	9	1368195072	15.532971	15.464967	15.528971	0	0
data/kosarak.dat	dic	0.1	0.8	100000	0	9	1368195072	12.932808	12.904806	12.932808	1	0
data/kosarak.dat	apriori	0.1	0.8	n/a	0	9	1368195072	8.584537	8.512532	8.584537	n/a	n/a
data/kosarak.dat	dic	0.05	0.8	100	0	33	1368195072	49.379086	49.267079	49.379086	0	0
data/kosarak.dat	dic	0.05	0.8	100	0	33	1368195072	27.453715	27.393712	27.449715	1	0
data/kosarak.dat	dic	0.05	0.8	1000	0	33	1368195072	37.522345	37.318332	37.518345	0	0
data/kosarak.dat	dic	0.05	0.8	1000	0	33	1368195072	23.261454	23.181449	23.261454	1	0
data/kosarak.dat	dic	0.05	0.8	10000	0	33	1368195072	36.190263	35.974249	36.190263	0	0
data/kosarak.dat	dic	0.05	0.8	10000	0	33	1368195072	22.645415	22.641415	22.645415	1	0
data/kosarak.dat	dic	0.05	0.8	100000	0	33	1368195072	35.578223	35.394212	35.578223	0	0
data/kosarak.dat	dic	0.05	0.8	100000	0	33	1368195072	25.149573	25.145572	25.149573	1	0
data/kosarak.dat	apriori	0.05	0.8	n/a	0	33	1368195072	34.746171	34.578161	34.746171	n/a	n/a
data/kosarak.dat	dic	0.025	0.8	100	0	82	1368195072	101.570348	101.258328	101.566348	0	0
data/kosarak.dat	dic	0.025	0.8	100	0	82	1368195072	57.5956	57.447591	57.5956	1	0
data/kosarak.dat	dic	0.025	0.8	1000	0	82	1368195072	53.667353	53.471341	53.667353	0	0
data/kosarak.dat	dic	0.025	0.8	1000	0	82	1368195072	40.33052	40.230514	40.33052	1	0
data/kosarak.dat	dic	0.025	0.8	10000	0	82	1368195072	48.331021	48.095006	48.327021	0	0
data/kosarak.dat	dic	0.025	0.8	10000	0	82	1368195072	38.070379	37.986374	38.070379	1	0
data/kosarak.dat	dic	0.025	0.8	100000	0	82	1368195072	47.406963	47.310957	47.406963	0	0
data/kosarak.dat	dic	0.025	0.8	100000	0	82	1368195072	43.554723	43.35471	43.550722	1	0
data/kosarak.dat	apriori	0.025	0.8	n/a	0	82	1368195072	121.911618	121.503593	121.911618	n/a	n/a
data/kosarak.dat	dic	0.01	0.8	100	0	383	1413545984	1527.811483	1522.407145	1527.811483	0	0
data/kosarak.dat	dic	0.01	0.8	100	0	383	1461026816	779.292703	775.644475	779.292703	1	0
data/kosarak.dat	dic	0.01	0.8	1000	0	383	1461026816	262.116382	261.148321	262.116382	0	0
data/kosarak.dat	dic	0.01	0.8	1000	0	383	1461026816	229.790361	228.662291	229.790361	1	0
data/kosarak.dat	dic	0.01	0.8	10000	0	383	1461026816	138.528658	138.212638	138.528658	0	0
data/kosarak.dat	dic	0.01	0.8	10000	0	383	1461026816	197.124319	196.536282	197.120319	1	0
data/kosarak.dat	dic	0.01	0.8	100000	0	383	1461026816	130.25214	129.824114	130.25214	0	0
data/kosarak.dat	dic	0.01	0.8	100000	0	383	1461026816	211.557222	210.749171	211.557222	1	0
data/kosarak.dat	apriori	0.01	0.8	n/a	0	383	1461026816	1703.602469	1698.390143	1703.602469	n/a	n/a
data/accidents.dat	dic	0.95	0.8	100	0	15	1714831360	39.562473	39.486468	39.562473	0	0
data/accidents.dat	dic	0.95	0.8	100	0	15	1765376000	20.609288	20.461279	20.609288	1	0
data/accidents.dat	dic	0.95	0.8	5000	0	15	1837285376	38.382399	38.194387	38.382399	0	0
data/accidents.dat	dic	0.95	0.8	5000	0	15	1858322432	20.853303	20.785299	20.853303	1	0
data/accidents.dat	dic	0.95	0.8	50000	0	15	1858322432	38.622414	38.56241	38.622414	0	0
data/accidents.dat	dic	0.95	0.8	50000	0	15	1858322432	24.005499	23.917494	24.005499	1	0
data/accidents.dat	apriori	0.95	0.8	n/a	0	15	1858322432	7.320458	7.312457	7.320458	n/a	n/a
data/accidents.dat	dic	0.9	0.8	100	0	31	1858322432	80.173011	80.017001	80.173011	0	0
data/accidents.dat	dic	0.9	0.8	100	0	31	1858322432	30.913932	30.797925	30.913932	1	0
data/accidents.dat	dic	0.9	0.8	5000	0	31	1858322432	78.952934	78.648915	78.952934	0	0
data/accidents.dat	dic	0.9	0.8	5000	0	31	1858322432	31.937997	31.82999	31.937997	1	0
data/accidents.dat	dic	0.9	0.8	50000	0	31	1858322432	77.336833	77.092818	77.332833	0	0
data/accidents.dat	dic	0.9	0.8	50000	0	31	1858322432	39.626476	39.558472	39.606475	1	0
data/accidents.dat	apriori	0.9	0.8	n/a	0	31	1858322432	14.632914	14.548909	14.632914	n/a	n/a
data/accidents.dat	dic	0.8	0.8	100	0	149	1858322432	368.883054	367.878991	368.879054	0	0
data/accidents.dat	dic	0.8	0.8	100	0	149	1858322432	392.17651	390.820425	392.17251	1	0
data/accidents.dat	dic	0.8	0.8	5000	0	149	1858322432	345.021562	343.897492	345.021562	0	0
data/accidents.dat	dic	0.8	0.8	5000	0	149	1858322432	318.503905	317.555846	318.503905	1	0
data/accidents.dat	dic	0.8	0.8	50000	0	149	1858322432	332.628788	331.676728	332.628788	0	0
data/accidents.dat	dic	0.8	0.8	50000	0	149	1858322432	370.283141	369.079066	370.283141	1	0
data/accidents.dat	apriori	0.8	0.8	n/a	0	149	1858322432	123.119695	122.691668	123.119695	n/a	n/a
