dataset	Alg_name	supp	conf	m	rl_no	lrg_len	mem	tot_t	usr_t	set_t	part	rand
data/mushroom.dat	dic	0.35	0.8	2000	0	1189	163381248	157.025814	156.253766	157.025814	1	0
data/mushroom.dat	dic	0.35	0.8	8124	0	1189	163381248	88.029501	87.68948	88.029501	0	0
data/mushroom.dat	dic	0.35	0.8	8124	0	1189	163381248	195.500218	193.908118	195.500218	1	0
data/mushroom.dat	apriori	0.35	0.8	n/a	0	1189	163381248	40.826552	40.602538	40.826552	n/a	n/a
data/mushroom.dat	dic	0.3	0.8	100	0	2735	163381248	327.512468	326.608412	327.512468	0	0
data/mushroom.dat	dic	0.3	0.8	100	0	2735	213942272	496.403024	494.990935	496.403024	1	0
data/mushroom.dat	dic	0.3	0.8	500	0	2735	218234880	243.69923	243.091192	243.69923	0	0
data/mushroom.dat	dic	0.3	0.8	500	0	2735	225214464	301.63485	300.694792	301.63485	1	0
data/mushroom.dat	dic	0.3	0.8	1000	0	2735	225214464	227.69023	227.074191	227.69023	0	0
data/mushroom.dat	dic	0.3	0.8	1000	0	2735	225214464	300.17876	299.474716	300.17876	1	0
data/mushroom.dat	dic	0.3	0.8	2000	0	2735	225214464	231.21045	230.378398	231.21045	0	0
data/mushroom.dat	dic	0.3	0.8	2000	0	2735	225214464	303.126944	302.382898	303.126944	1	0
data/mushroom.dat	dic	0.3	0.8	8124	0	2735	225214464	222.365898	221.529845	222.365898	0	0
data/mushroom.dat	dic	0.3	0.8	8124	0	2735	225214464	424.726543	422.362396	424.726543	1	0
data/mushroom.dat	apriori	0.3	0.8	n/a	0	2735	225214464	95.057941	94.685917	95.057941	n/a	n/a
data/mushroom.dat	dic	0.25	0.8	100	0	5545	225214464	789.405334	787.269201	789.405334	0	0
data/mushroom.dat	dic	0.25	0.8	100	0	5545	388628480	849.201072	846.416898	849.201072	1	0
data/mushroom.dat	dic	0.25	0.8	500	0	5545	389595136	577.264077	575.599973	577.264077	0	0
data/mushroom.dat	dic	0.25	0.8	500	0	5545	389595136	460.18476	458.872678	460.18476	1	0
data/mushroom.dat	dic	0.25	0.8	1000	0	5545	389595136	538.885678	537.357582	538.885678	0	0
data/mushroom.dat	dic	0.25	0.8	1000	0	5545	389595136	508.319768	506.531657	508.319768	1	0
data/mushroom.dat	dic	0.25	0.8	2000	0	5545	389595136	506.43565	504.919555	506.43565	0	0
data/mushroom.dat	dic	0.25	0.8	2000	0	5545	389595136	683.826736	680.862551	683.826736	1	0
